school,district,city,enroll12,number_taker,reading,english,math,science
El Camino High,South San Francisco Unified,San Mateo,315.0,21.0,24.0,24.0,24.0,22.0
El Camino High,Oceanside Unified,San Diego,795.0,125.0,20.0,20.0,21.0,21.0
El Camino Real Charter High,Los Angeles Unified,Los Angeles,904.0,122.0,25.0,26.0,25.0,24.0
El Capitan High,Grossmont Union High,San Diego,406.0,56.0,22.0,21.0,20.0,21.0
El Capitan High,Merced Union High,Merced,373.0,96.0,20.0,18.0,19.0,19.0
El Cerrito High,West Contra Costa Unified,Contra Costa,331.0,48.0,24.0,23.0,23.0,23.0
El Diamante High,Visalia Unified,Tulare,461.0,49.0,20.0,20.0,21.0,21.0
El Dorado High,El Dorado Union High,El Dorado,235.0,48.0,23.0,21.0,21.0,21.0
El Dorado High,Placentia-Yorba Linda Unified,Orange,462.0,71.0,25.0,24.0,25.0,24.0
El Modena High,Orange Unified,Orange,526.0,42.0,24.0,24.0,24.0,23.0
El Molino High,West Sonoma County Union High,Sonoma,131.0,22.0,24.0,22.0,22.0,23.0
El Monte High,El Monte Union High,Los Angeles,397.0,114.0,19.0,18.0,20.0,19.0
El Rancho High,El Rancho Unified,Los Angeles,592.0,218.0,19.0,18.0,19.0,19.0
El Segundo High,El Segundo Unified,Los Angeles,292.0,109.0,25.0,25.0,24.0,24.0
El Toro High,Saddleback Valley Unified,Orange,559.0,113.0,23.0,23.0,23.0,23.0
Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083.0,190.0,23.0,21.0,22.0,22.0
Elk Grove High,Elk Grove Unified,Sacramento,475.0,97.0,24.0,22.0,23.0,22.0
Encinal Junior/Senior High,Alameda Unified,Alameda,233.0,44.0,26.0,26.0,25.0,24.0
Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113.0,37.0,20.0,18.0,17.0,17.0
Environmental Charter High,Lawndale Elementary,Los Angeles,126.0,96.0,17.0,17.0,18.0,17.0
Eric Birch High (Continuation),Fontana Unified,San Bernardino,142.0,113.0,13.0,11.0,14.0,13.0
Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,536.0,58.0,21.0,20.0,22.0,21.0
Ernest S. McBride Sr. High,Long Beach Unified,Los Angeles,165.0,24.0,24.0,24.0,22.0,23.0
Escalon High,Escalon Unified,San Joaquin,188.0,16.0,21.0,19.0,21.0,22.0
Escondido Charter High,Escondido Union High,San Diego,210.0,27.0,24.0,23.0,25.0,24.0
Escondido High,Escondido Union High,San Diego,580.0,137.0,19.0,17.0,18.0,19.0
Esperanza High,Placentia-Yorba Linda Unified,Orange,355.0,83.0,24.0,23.0,23.0,23.0
Estancia High,Newport-Mesa Unified,Orange,325.0,22.0,20.0,20.0,19.0,20.0
Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,27.0,15.0,14.0,16.0,16.0
Etiwanda High,Chaffey Joint Union High,San Bernardino,851.0,84.0,21.0,21.0,22.0,22.0
Etna Union High,Scott Valley Unified,Siskiyou,43.0,27.0,20.0,20.0,21.0,21.0
Eureka Senior High,Eureka City Schools,Humboldt,266.0,23.0,24.0,22.0,23.0,22.0
Everest Public High,Sequoia Union High,San Mateo,86.0,51.0,19.0,17.0,18.0,19.0
Everett Alvarez High,Salinas Union High,Monterey,607.0,122.0,19.0,18.0,18.0,18.0
Evergreen Valley High,East Side Union High,Santa Clara,712.0,122.0,29.0,29.0,29.0,28.0
Exeter Union High,Exeter Unified,Tulare,187.0,18.0,25.0,23.0,20.0,23.0
Fairfax Senior High,Los Angeles Unified,Los Angeles,361.0,36.0,21.0,21.0,21.0,20.0
Fallbrook High,Fallbrook Union High,San Diego,464.0,40.0,23.0,22.0,22.0,21.0
Farmersville High,Farmersville Unified,Tulare,170.0,46.0,18.0,16.0,17.0,17.0
Fillmore Senior High,Fillmore Unified,Ventura,250.0,29.0,24.0,23.0,23.0,23.0
Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167.0,31.0,16.0,15.0,16.0,17.0
Florin High,Elk Grove Unified,Sacramento,322.0,94.0,19.0,18.0,20.0,19.0
Folsom High,Folsom-Cordova Unified,Sacramento,552.0,127.0,27.0,27.0,27.0,26.0
Fontana A. B. Miller High,Fontana Unified,San Bernardino,507.0,447.0,16.0,14.0,17.0,16.0
Fontana High,Fontana Unified,San Bernardino,538.0,496.0,15.0,13.0,16.0,16.0
Foothill High,Pleasanton Unified,Alameda,498.0,196.0,28.0,28.0,28.0,27.0
Foothill High,Kern High,Kern,471.0,15.0,20.0,18.0,21.0,19.0
Foothill High,Shasta Union High,Shasta,317.0,29.0,26.0,23.0,23.0,23.0
Foothill High,Tustin Unified,Orange,542.0,155.0,26.0,26.0,25.0,24.0
Foothill Technology High,Ventura Unified,Ventura,222.0,61.0,24.0,23.0,22.0,23.0
Fort Bragg High,Fort Bragg Unified,Mendocino,107.0,24.0,25.0,24.0,22.0,23.0
Fortuna Union High,Fortuna Union High,Humboldt,183.0,18.0,23.0,21.0,22.0,22.0
Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,56.0,19.0,18.0,19.0,18.0
Fountain Valley High,Huntington Beach Union High,Orange,805.0,102.0,27.0,26.0,26.0,26.0
Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403.0,101.0,21.0,20.0,21.0,20.0
Franklin High,Stockton Unified,San Joaquin,449.0,57.0,20.0,19.0,20.0,20.0
Franklin High,Elk Grove Unified,Sacramento,595.0,69.0,26.0,25.0,25.0,23.0
Fred C. Beyer High,Modesto City High,Stanislaus,397.0,63.0,25.0,25.0,24.0,24.0
Freedom High,Liberty Union High,Contra Costa,649.0,89.0,22.0,21.0,20.0,21.0
Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,19.0,19.0,17.0,18.0,18.0
Fremont High,Oakland Unified,Alameda,154.0,26.0,14.0,14.0,15.0,14.0
Fremont High,Fremont Union High,Santa Clara,508.0,82.0,27.0,27.0,27.0,26.0
Fresno High,Fresno Unified,Fresno,442.0,110.0,17.0,16.0,17.0,17.0
Frontier High,Kern High,Kern,576.0,50.0,25.0,23.0,24.0,22.0
Fullerton Union High,Fullerton Joint Union High,Orange,467.0,59.0,24.0,24.0,23.0,23.0
Gabrielino High,San Gabriel Unified,Los Angeles,433.0,69.0,28.0,28.0,26.0,26.0
Gahr (Richard) High,ABC Unified,Los Angeles,418.0,41.0,21.0,21.0,22.0,22.0
Galileo High,San Francisco Unified,San Francisco,462.0,95.0,21.0,20.0,23.0,21.0
Galt High,Galt Joint Union High,Sacramento,215.0,26.0,19.0,16.0,19.0,19.0
Ganesha High,Pomona Unified,Los Angeles,207.0,67.0,17.0,16.0,17.0,17.0
Garden Grove High,Garden Grove Unified,Orange,569.0,77.0,24.0,24.0,22.0,23.0
Gardena Senior High,Los Angeles Unified,Los Angeles,279.0,24.0,18.0,17.0,17.0,17.0
Garey High,Pomona Unified,Los Angeles,399.0,23.0,17.0,17.0,18.0,18.0
Gateway High,San Francisco Unified,San Francisco,112.0,39.0,21.0,20.0,19.0,19.0
Gilroy High,Gilroy Unified,Santa Clara,374.0,36.0,22.0,20.0,22.0,21.0
Gladstone High,Azusa Unified,Los Angeles,266.0,24.0,21.0,21.0,21.0,22.0
Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355.0,28.0,25.0,23.0,24.0,24.0
Glendale High,Glendale Unified,Los Angeles,547.0,42.0,23.0,22.0,23.0,23.0
Glendora High,Glendora Unified,Los Angeles,591.0,79.0,25.0,23.0,24.0,23.0
Golden Valley High,Kern High,Kern,580.0,22.0,21.0,18.0,19.0,20.0
Golden Valley High,Merced Union High,Merced,397.0,45.0,18.0,16.0,18.0,18.0
Golden Valley High,William S. Hart Union High,Los Angeles,479.0,53.0,25.0,23.0,21.0,23.0
Golden West High,Visalia Unified,Tulare,383.0,38.0,21.0,19.0,20.0,21.0
Gompers Preparatory Academy,San Diego Unified,San Diego,125.0,114.0,16.0,15.0,17.0,16.0
Gonzales High,Gonzales Unified,Monterey,182.0,63.0,17.0,17.0,17.0,17.0
Granada High,Livermore Valley Joint Unified,Alameda,567.0,147.0,27.0,26.0,26.0,25.0
Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120.0,204.0,25.0,25.0,24.0,24.0
Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503.0,38.0,21.0,21.0,20.0,21.0
Granite Bay High,Roseville Joint Union High,Placer,513.0,201.0,26.0,26.0,26.0,25.0
Granite Hills High,Grossmont Union High,San Diego,557.0,97.0,22.0,20.0,22.0,21.0
Granite Hills High,Porterville Unified,Tulare,302.0,41.0,17.0,16.0,17.0,18.0
Grant Union High,Twin Rivers Unified,Sacramento,394.0,49.0,20.0,18.0,18.0,18.0
Great Oak High,Temecula Valley Unified,Riverside,756.0,214.0,24.0,24.0,23.0,23.0
Greenfield High,South Monterey County Joint Union High,Monterey,268.0,53.0,17.0,15.0,16.0,16.0
Gridley High,Gridley Unified,Butte,158.0,15.0,22.0,22.0,24.0,22.0
Grossmont High,Grossmont Union High,San Diego,539.0,87.0,23.0,22.0,23.0,22.0
Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651.0,110.0,26.0,26.0,24.0,24.0
Guajome Park Academy Charter,Vista Unified,San Diego,103.0,16.0,27.0,26.0,26.0,26.0
Gunderson High,San Jose Unified,Santa Clara,246.0,17.0,24.0,22.0,23.0,22.0
Gustine High,Gustine Unified,Merced,140.0,28.0,20.0,19.0,17.0,19.0
Half Moon Bay High,Cabrillo Unified,San Mateo,223.0,65.0,27.0,26.0,25.0,25.0
Hamilton High,Hamilton Unified,Glenn,86.0,30.0,18.0,18.0,18.0,19.0
Hanford High,Hanford Joint Union High,Kings,335.0,18.0,21.0,21.0,20.0,21.0
Hanford West High,Hanford Joint Union High,Kings,301.0,17.0,21.0,20.0,19.0,20.0
Harbor High,Santa Cruz City High,Santa Cruz,179.0,45.0,20.0,19.0,21.0,20.0
Harmony Magnet Academy,Porterville Unified,Tulare,109.0,38.0,22.0,21.0,22.0,22.0
Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,124.0,18.0,17.0,17.0,17.0
Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,112.0,20.0,20.0,21.0,19.0
Hayward High,Hayward Unified,Alameda,355.0,37.0,21.0,20.0,20.0,20.0
Healdsburg High,Healdsburg Unified,Sonoma,139.0,36.0,24.0,25.0,22.0,22.0
Health Careers Academy,Stockton Unified,San Joaquin,96.0,41.0,18.0,17.0,18.0,18.0
Hector G. Godinez,Santa Ana Unified,Orange,627.0,72.0,21.0,18.0,20.0,20.0
Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,34.0,15.0,14.0,16.0,15.0
Helix High,Grossmont Union High,San Diego,578.0,239.0,22.0,21.0,22.0,21.0
Hemet High,Hemet Unified,Riverside,573.0,18.0,25.0,22.0,21.0,20.0
Henry High,San Diego Unified,San Diego,506.0,138.0,24.0,24.0,25.0,24.0
Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,467.0,16.0,14.0,16.0,16.0
Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,223.0,29.0,29.0,29.0,28.0
Herbert Hoover High,Fresno Unified,Fresno,360.0,31.0,17.0,15.0,17.0,17.0
Hercules High,West Contra Costa Unified,Contra Costa,219.0,20.0,23.0,25.0,22.0,23.0
Heritage High,Perris Union High,Riverside,610.0,150.0,19.0,18.0,18.0,19.0
Heritage High,Liberty Union High,Contra Costa,574.0,112.0,26.0,25.0,24.0,25.0
Hesperia High,Hesperia Unified,San Bernardino,445.0,40.0,20.0,18.0,18.0,18.0
High Tech High,San Diego Unified,San Diego,126.0,25.0,25.0,23.0,22.0,23.0
High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,16.0,22.0,19.0,19.0,19.0
High Tech High International,San Diego Unified,San Diego,98.0,22.0,22.0,21.0,20.0,19.0
High Tech High Media Arts,San Diego Unified,San Diego,90.0,38.0,21.0,21.0,19.0,20.0
High Tech High North County,SBC - High Tech High,San Diego,95.0,24.0,23.0,22.0,20.0,22.0
High Tech LA,Los Angeles Unified,Los Angeles,90.0,15.0,20.0,21.0,21.0,20.0
Highland High,Kern High,Kern,477.0,22.0,22.0,19.0,20.0,20.0
Highland High,Antelope Valley Union High,Los Angeles,691.0,25.0,22.0,21.0,19.0,20.0
Hilda L. Solis Learning Academy School of Technology Business and Education,Los Angeles Unified,Los Angeles,67.0,20.0,17.0,16.0,18.0,18.0
Hillcrest High,Alvord Unified,Riverside,391.0,17.0,22.0,22.0,22.0,21.0
Hillsdale High,San Mateo Union High,San Mateo,356.0,65.0,26.0,25.0,25.0,25.0
Hilltop Senior High,Sweetwater Union High,San Diego,599.0,73.0,21.0,20.0,20.0,21.0
Hilmar High,Hilmar Unified,Merced,154.0,26.0,22.0,20.0,20.0,20.0
Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,28.0,15.0,15.0,18.0,17.0
Hollywood Senior High,Los Angeles Unified,Los Angeles,334.0,48.0,20.0,20.0,19.0,20.0
Holtville High,Holtville Unified,Imperial,138.0,29.0,20.0,18.0,20.0,19.0
Homestead High,Fremont Union High,Santa Clara,605.0,197.0,30.0,30.0,30.0,29.0
Hoover High,San Diego Unified,San Diego,489.0,206.0,18.0,17.0,18.0,18.0
Hueneme High,Oxnard Union High,Ventura,491.0,30.0,21.0,19.0,20.0,19.0
Huntington Beach High,Huntington Beach Union High,Orange,718.0,205.0,25.0,24.0,24.0,23.0
Huntington Park Senior High,Los Angeles Unified,Los Angeles,301.0,44.0,16.0,16.0,17.0,17.0
ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120.0,21.0,18.0,17.0,16.0,16.0
Impact Academy of Arts & Technology,Hayward Unified,Alameda,102.0,23.0,18.0,18.0,19.0,18.0
Imperial High,Imperial Unified,Imperial,279.0,65.0,23.0,22.0,21.0,22.0
Independence High,East Side Union High,Santa Clara,683.0,86.0,21.0,20.0,21.0,21.0
Independence High,Kern High,Kern,511.0,41.0,20.0,20.0,19.0,20.0
Inderkum High,Natomas Unified,Sacramento,471.0,463.0,18.0,16.0,18.0,17.0
Indian Springs High,San Bernardino City Unified,San Bernardino,382.0,110.0,17.0,16.0,17.0,17.0
Indio High,Desert Sands Unified,Riverside,517.0,45.0,18.0,17.0,17.0,18.0
Inglewood High,Inglewood Unified,Los Angeles,176.0,60.0,16.0,16.0,16.0,16.0
International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131.0,54.0,26.0,25.0,23.0,23.0
International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84.0,36.0,19.0,18.0,18.0,18.0
Irvine High,Irvine Unified,Orange,533.0,139.0,28.0,29.0,29.0,28.0
Irvington High,Fremont Unified,Alameda,497.0,111.0,30.0,31.0,30.0,29.0
James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581.0,269.0,18.0,17.0,19.0,17.0
James C. Enochs High,Modesto City High,Stanislaus,577.0,88.0,23.0,22.0,22.0,22.0
James Logan High,New Haven Unified,Alameda,885.0,132.0,24.0,23.0,24.0,24.0
James Monroe High,Los Angeles Unified,Los Angeles,510.0,51.0,20.0,19.0,20.0,19.0
Jefferson High,Jefferson Union High,San Mateo,260.0,19.0,19.0,20.0,19.0,19.0
Jesse M. Bethel High,Vallejo City Unified,Solano,380.0,44.0,20.0,18.0,18.0,19.0
John A. Rowland High,Rowland Unified,Los Angeles,513.0,51.0,25.0,25.0,26.0,25.0
John C. Kimball High,Tracy Joint Unified,San Joaquin,349.0,25.0,24.0,22.0,23.0,23.0
John F. Kennedy High,Sacramento City Unified,Sacramento,537.0,70.0,24.0,22.0,24.0,23.0
John F. Kennedy High,Corona-Norco Unified,Riverside,232.0,59.0,22.0,22.0,20.0,21.0
John F. Kennedy High,Fremont Unified,Alameda,310.0,38.0,26.0,25.0,25.0,24.0
John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,15.0,16.0,16.0,16.0,14.0
John F. Kennedy High,Anaheim Union High,Orange,654.0,55.0,23.0,23.0,23.0,23.0
John F. Kennedy High,Los Angeles Unified,Los Angeles,463.0,32.0,21.0,20.0,21.0,20.0
John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675.0,44.0,23.0,22.0,24.0,23.0
John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,43.0,16.0,16.0,17.0,17.0
John H. Pitman High,Turlock Unified,Stanislaus,511.0,52.0,23.0,22.0,22.0,22.0
John Marshall Senior High,Los Angeles Unified,Los Angeles,552.0,77.0,23.0,22.0,22.0,22.0
John Muir High,Pasadena Unified,Los Angeles,236.0,30.0,18.0,18.0,18.0,19.0
John W. North High,Riverside Unified,Riverside,501.0,118.0,20.0,19.0,20.0,20.0
Jordan (June) School for Equity,San Francisco Unified,San Francisco,65.0,33.0,16.0,14.0,16.0,15.0
Jordan High,Long Beach Unified,Los Angeles,606.0,107.0,17.0,16.0,18.0,18.0
Joseph A. Gregori High,Modesto City High,Stanislaus,539.0,80.0,24.0,23.0,23.0,23.0
Jurupa Hills High,Fontana Unified,San Bernardino,466.0,424.0,16.0,14.0,16.0,16.0
Jurupa Valley High,Jurupa Unified,Riverside,383.0,98.0,18.0,17.0,19.0,19.0
Katella High,Anaheim Union High,Orange,651.0,18.0,20.0,18.0,18.0,20.0
Kearny SCT,San Diego Unified,San Diego,77.0,15.0,21.0,19.0,21.0,22.0
Kelseyville High,Kelseyville Unified,Lake,124.0,18.0,19.0,19.0,19.0,18.0
Kerman High,Kerman Unified,Fresno,382.0,38.0,22.0,21.0,21.0,23.0
Kern Valley High,Kern High,Kern,113.0,20.0,22.0,21.0,21.0,22.0
King City High,South Monterey County Joint Union High,Monterey,221.0,35.0,19.0,19.0,18.0,19.0
King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334.0,102.0,21.0,19.0,19.0,19.0
King-Chavez Community High,San Diego Unified,San Diego,87.0,17.0,16.0,13.0,16.0,15.0
Kingsburg High,Kingsburg Joint Union High,Fresno,246.0,41.0,23.0,21.0,22.0,21.0
KIPP King Collegiate High,San Lorenzo Unified,Alameda,144.0,108.0,21.0,21.0,22.0,21.0
KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53.0,50.0,20.0,19.0,19.0,19.0
KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,100.0,20.0,20.0,20.0,20.0
L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128.0,36.0,26.0,26.0,21.0,22.0
La Canada High,La Canada Unified,Los Angeles,346.0,138.0,29.0,29.0,29.0,28.0
La Costa Canyon High,San Dieguito Union High,San Diego,523.0,248.0,25.0,26.0,25.0,25.0
La Habra High,Fullerton Joint Union High,Orange,539.0,59.0,24.0,23.0,22.0,22.0
La Jolla High,San Diego Unified,San Diego,339.0,112.0,29.0,29.0,27.0,27.0
La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468.0,42.0,24.0,23.0,21.0,21.0
La Puente High,Hacienda la Puente Unified,Los Angeles,254.0,41.0,22.0,20.0,21.0,20.0
La Quinta High,Garden Grove Unified,Orange,561.0,199.0,24.0,25.0,25.0,23.0
La Quinta High,Desert Sands Unified,Riverside,618.0,62.0,22.0,20.0,20.0,21.0
La Serna High,Whittier Union High,Los Angeles,609.0,70.0,23.0,22.0,23.0,22.0
La Sierra High,Alvord Unified,Riverside,418.0,61.0,18.0,18.0,19.0,19.0
Laguna Beach High,Laguna Beach Unified,Orange,294.0,165.0,26.0,27.0,26.0,26.0
Laguna Creek High,Elk Grove Unified,Sacramento,451.0,85.0,24.0,23.0,23.0,23.0
Laguna Hills High,Saddleback Valley Unified,Orange,374.0,66.0,26.0,26.0,25.0,24.0
Lakeside High,Lake Elsinore Unified,Riverside,387.0,92.0,19.0,18.0,19.0,19.0
Lakewood High,Long Beach Unified,Los Angeles,743.0,38.0,22.0,21.0,21.0,21.0
Lancaster High,Antelope Valley Union High,Los Angeles,575.0,45.0,21.0,21.0,19.0,20.0
Las Lomas High,Acalanes Union High,Contra Costa,367.0,128.0,26.0,26.0,25.0,25.0
Lassen High,Lassen Union High,Lassen,188.0,27.0,22.0,21.0,21.0,21.0
Lathrop High,Manteca Unified,San Joaquin,321.0,32.0,21.0,21.0,21.0,21.0
Lawndale High,Centinela Valley Union High,Los Angeles,553.0,28.0,18.0,17.0,17.0,18.0
Le Grand High,Le Grand Union High,Merced,95.0,33.0,17.0,15.0,17.0,17.0
Leadership High,San Francisco Unified,San Francisco,75.0,26.0,17.0,15.0,16.0,16.0
Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,134.0,19.0,18.0,19.0,19.0
Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149.0,148.0,17.0,15.0,17.0,16.0
Leigh High,Campbell Union High,Santa Clara,415.0,133.0,28.0,28.0,28.0,27.0
Leland High,San Jose Unified,Santa Clara,454.0,164.0,29.0,30.0,29.0,28.0
Lemoore High,Lemoore Union High,Kings,410.0,81.0,20.0,19.0,19.0,19.0
Lennox Mathematics Science and Technology Academy,Lennox,Los Angeles,143.0,105.0,18.0,17.0,19.0,18.0
Leroy Greene Academy,Natomas Unified,Sacramento,67.0,69.0,17.0,16.0,17.0,17.0
Leuzinger High,Centinela Valley Union High,Los Angeles,415.0,33.0,18.0,17.0,17.0,17.0
Liberty High,Golden Valley Unified,Madera,138.0,17.0,23.0,24.0,22.0,22.0
Liberty High,Kern High,Kern,540.0,60.0,23.0,22.0,22.0,22.0
Liberty High,Liberty Union High,Contra Costa,610.0,82.0,24.0,22.0,22.0,22.0
Liberty Ranch High,Galt Joint Union High,Sacramento,315.0,32.0,23.0,23.0,22.0,22.0
LIFE Academy,Oakland Unified,Alameda,65.0,27.0,20.0,20.0,20.0,20.0
Lifeline Education Charter,Compton Unified,Los Angeles,59.0,36.0,16.0,14.0,16.0,15.0
Lincoln (Abraham) High,San Francisco Unified,San Francisco,519.0,112.0,22.0,21.0,22.0,21.0
Lincoln High,San Diego Unified,San Diego,364.0,81.0,18.0,17.0,18.0,18.0
Lincoln High,Western Placer Unified,Placer,414.0,57.0,24.0,23.0,22.0,23.0
Lincoln High,Lincoln Unified,San Joaquin,676.0,59.0,23.0,22.0,23.0,23.0
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144.0,88.0,16.0,16.0,17.0,17.0
Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141.0,37.0,18.0,18.0,18.0,18.0
Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,61.0,16.0,15.0,16.0,17.0
Linden High,Linden Unified,San Joaquin,151.0,33.0,22.0,21.0,20.0,21.0
Lindhurst High,Marysville Joint Unified,Yuba,214.0,19.0,22.0,18.0,20.0,20.0
Literacy First Charter,San Diego County Office of Education,San Diego,80.0,18.0,23.0,23.0,25.0,24.0
Littlerock High,Antelope Valley Union High,Los Angeles,336.0,25.0,16.0,15.0,16.0,16.0
Live Oak High,Live Oak Unified,Sutter,129.0,33.0,19.0,20.0,20.0,20.0
Live Oak High,Morgan Hill Unified,Santa Clara,261.0,32.0,23.0,22.0,22.0,21.0
Livermore High,Livermore Valley Joint Unified,Alameda,437.0,99.0,25.0,24.0,24.0,24.0
Livingston High,Merced Union High,Merced,291.0,51.0,20.0,18.0,19.0,20.0
Loara High,Anaheim Union High,Orange,482.0,53.0,18.0,18.0,18.0,19.0
Lodi High,Lodi Unified,San Joaquin,508.0,121.0,23.0,22.0,23.0,22.0
Los Alamitos High,Los Alamitos Unified,Orange,758.0,262.0,26.0,27.0,26.0,25.0
Los Altos High,Hacienda la Puente Unified,Los Angeles,411.0,30.0,21.0,21.0,21.0,22.0
Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,168.0,29.0,29.0,28.0,28.0
Los Amigos High,Garden Grove Unified,Orange,416.0,163.0,18.0,17.0,18.0,18.0
Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,61.0,27.0,28.0,28.0,27.0
Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108.0,17.0,22.0,22.0,18.0,20.0
Los Banos High,Los Banos Unified,Merced,303.0,19.0,21.0,20.0,20.0,20.0
Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,187.0,29.0,29.0,28.0,28.0
Los Molinos High,Los Molinos Unified,Tehama,37.0,38.0,17.0,15.0,17.0,17.0
Los Osos High,Chaffey Joint Union High,San Bernardino,763.0,149.0,24.0,24.0,25.0,24.0
Lowell High,San Francisco Unified,San Francisco,678.0,244.0,28.0,28.0,28.0,26.0
LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,99.0,15.0,13.0,16.0,16.0
Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102.0,22.0,17.0,15.0,16.0,15.0
Luther Burbank High,Sacramento City Unified,Sacramento,449.0,62.0,18.0,16.0,17.0,18.0
Lynbrook High,Fremont Union High,Santa Clara,415.0,172.0,32.0,32.0,32.0,31.0
Lynwood High,Lynwood Unified,Los Angeles,473.0,92.0,18.0,17.0,17.0,17.0
Madera High,Madera Unified,Madera,467.0,128.0,20.0,19.0,19.0,20.0
Madera South High,Madera Unified,Madera,621.0,141.0,17.0,15.0,17.0,17.0
Madison High,San Diego Unified,San Diego,221.0,39.0,20.0,19.0,19.0,20.0
Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83.0,20.0,20.0,19.0,20.0,19.0
Malibu High,Santa Monica-Malibu Unified,Los Angeles,157.0,36.0,26.0,26.0,24.0,24.0
Mammoth High,Mammoth Unified,Mono,98.0,19.0,26.0,25.0,23.0,24.0
Manteca High,Manteca Unified,San Joaquin,372.0,16.0,23.0,23.0,22.0,22.0
Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,80.0,15.0,14.0,16.0,16.0
Mar Vista Senior High,Sweetwater Union High,San Diego,417.0,55.0,20.0,19.0,19.0,20.0
Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357.0,68.0,18.0,17.0,17.0,17.0
Maria Carrillo High,Santa Rosa High,Sonoma,352.0,81.0,29.0,28.0,27.0,27.0
Marina High,Huntington Beach Union High,Orange,622.0,84.0,27.0,26.0,26.0,25.0
Mariposa County High,Mariposa County Unified,Mariposa,134.0,16.0,24.0,22.0,23.0,22.0
Mark Keppel High,Alhambra Unified,Los Angeles,579.0,91.0,27.0,27.0,27.0,26.0
Marshall (Thurgood) High,San Francisco Unified,San Francisco,104.0,23.0,16.0,14.0,18.0,17.0
Marshall Fundamental,Pasadena Unified,Los Angeles,269.0,50.0,24.0,23.0,23.0,23.0
Martin Luther King Jr. High,Riverside Unified,Riverside,759.0,148.0,24.0,23.0,24.0,24.0
Marysville High,Marysville Joint Unified,Yuba,173.0,22.0,19.0,18.0,19.0,18.0
Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155.0,148.0,16.0,16.0,18.0,17.0
Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,Los Angeles,104.0,66.0,19.0,19.0,19.0,19.0
Mayfair High,Bellflower Unified,Los Angeles,452.0,24.0,25.0,24.0,22.0,23.0
Maywood Academy High,Los Angeles Unified,Los Angeles,249.0,26.0,18.0,16.0,17.0,18.0
McClymonds High,Oakland Unified,Alameda,77.0,45.0,14.0,13.0,15.0,14.0
McFarland High,McFarland Unified,Kern,203.0,16.0,18.0,16.0,19.0,17.0
McLane High,Fresno Unified,Fresno,366.0,51.0,17.0,15.0,17.0,17.0
Mendota High,Mendota Unified,Fresno,223.0,82.0,16.0,15.0,17.0,16.0
Menlo-Atherton High,Sequoia Union High,San Mateo,644.0,133.0,28.0,27.0,27.0,26.0
