school,district,city,enroll12,number_taker,reading,english,math,science
Arcadia High,Arcadia Unified,Los Angeles,829.0,192.0,28.0,29.0,28.0,27.0
Arcata High,Northern Humboldt Union High,Humboldt,210.0,40.0,28.0,26.0,25.0,25.0
Argonaut High,Amador County Unified,Amador,96.0,20.0,23.0,21.0,21.0,21.0
Arlington High,Riverside Unified,Riverside,434.0,123.0,18.0,18.0,19.0,18.0
Armijo High,Fairfield-Suisun Unified,Solano,500.0,26.0,23.0,24.0,23.0,23.0
Arnold O. Beckman High,Tustin Unified,Orange,760.0,225.0,28.0,29.0,28.0,27.0
Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503.0,158.0,23.0,22.0,22.0,22.0
Arroyo High,El Monte Union High,Los Angeles,544.0,29.0,22.0,21.0,23.0,22.0
Arroyo High,San Lorenzo Unified,Alameda,473.0,32.0,21.0,22.0,23.0,22.0
Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,51.0,19.0,17.0,18.0,18.0
Artesia High,ABC Unified,Los Angeles,344.0,27.0,19.0,18.0,20.0,19.0
Arvin High,Kern High,Kern,616.0,71.0,19.0,18.0,18.0,19.0
Asawa (Ruth) SF Sch of the Arts A Public School,San Francisco Unified,San Francisco,175.0,39.0,29.0,28.0,24.0,25.0
Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36.0,44.0,16.0,14.0,17.0,16.0
Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94.0,98.0,21.0,20.0,20.0,20.0
Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,20.0,31.0,16.0,14.0,18.0,15.0
Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,151.0,18.0,17.0,17.0,17.0
Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,94.0,17.0,16.0,17.0,17.0
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,53.0,48.0,15.0,14.0,17.0,15.0
Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118.0,133.0,16.0,16.0,17.0,17.0
Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97.0,99.0,15.0,14.0,16.0,16.0
Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,50.0,59.0,17.0,16.0,16.0,17.0
Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,18.0,23.0,18.0,18.0,18.0,18.0
Atascadero High,Atascadero Unified,San Luis Obispo,278.0,34.0,26.0,25.0,25.0,25.0
Atwater High,Merced Union High,Merced,474.0,71.0,19.0,17.0,17.0,19.0
Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121.0,26.0,16.0,15.0,17.0,16.0
Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93.0,25.0,15.0,13.0,15.0,15.0
Avenal High,Reef-Sunset Unified,Kings,149.0,112.0,16.0,14.0,15.0,16.0
Azusa High,Azusa Unified,Los Angeles,291.0,25.0,17.0,16.0,18.0,19.0
Bakersfield High,Kern High,Kern,693.0,47.0,24.0,21.0,23.0,22.0
Balboa High,San Francisco Unified,San Francisco,306.0,42.0,20.0,19.0,21.0,20.0
Baldwin Park High,Baldwin Park Unified,Los Angeles,438.0,114.0,21.0,19.0,20.0,20.0
Banning High,Banning Unified,Riverside,218.0,51.0,18.0,17.0,18.0,18.0
Barstow High,Barstow Unified,San Bernardino,319.0,26.0,18.0,17.0,19.0,19.0
Bassett Senior High,Bassett Unified,Los Angeles,254.0,21.0,23.0,22.0,22.0,22.0
Bear Creek High,Lodi Unified,San Joaquin,450.0,50.0,20.0,20.0,22.0,22.0
Bear River High,Nevada Joint Union High,Nevada,128.0,22.0,23.0,22.0,23.0,22.0
Beaumont Senior High,Beaumont Unified,Riverside,652.0,48.0,22.0,20.0,20.0,21.0
Bell Gardens High,Montebello Unified,Los Angeles,653.0,175.0,18.0,17.0,17.0,19.0
Bell Senior High,Los Angeles Unified,Los Angeles,575.0,178.0,18.0,17.0,18.0,18.0
Bella Vista High,San Juan Unified,Sacramento,458.0,74.0,26.0,25.0,26.0,25.0
Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,31.0,17.0,15.0,17.0,16.0
Benicia High,Benicia Unified,Solano,363.0,67.0,27.0,26.0,25.0,25.0
Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277.0,108.0,18.0,17.0,19.0,18.0
Berkeley High,Berkeley Unified,Alameda,715.0,222.0,26.0,26.0,25.0,25.0
Beverly Hills High,Beverly Hills Unified,Los Angeles,404.0,91.0,28.0,29.0,27.0,26.0
Birmingham Community Charter High,Los Angeles Unified,Los Angeles,798.0,37.0,20.0,19.0,20.0,19.0
Bishop Union High,Bishop Unified,Inyo,133.0,27.0,23.0,22.0,22.0,22.0
Blair High,Pasadena Unified,Los Angeles,156.0,37.0,23.0,22.0,22.0,22.0
Bloomington High,Colton Joint Unified,San Bernardino,481.0,17.0,21.0,21.0,20.0,21.0
Bolsa Grande High,Garden Grove Unified,Orange,477.0,99.0,21.0,21.0,21.0,20.0
Bonita High,Bonita Unified,Los Angeles,471.0,115.0,23.0,22.0,22.0,22.0
Bonita Vista Senior High,Sweetwater Union High,San Diego,659.0,72.0,24.0,24.0,24.0,24.0
Branham High,Campbell Union High,Santa Clara,416.0,67.0,28.0,28.0,27.0,26.0
Brawley Union High,Brawley Union High,Imperial,373.0,115.0,19.0,18.0,18.0,18.0
Brea-Olinda High,Brea-Olinda Unified,Orange,476.0,121.0,26.0,26.0,26.0,26.0
Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117.0,45.0,18.0,17.0,17.0,19.0
Buchanan High,Clovis Unified,Fresno,667.0,125.0,26.0,24.0,24.0,25.0
Buena High,Ventura Unified,Ventura,412.0,55.0,23.0,22.0,22.0,22.0
Buena Park High,Fullerton Joint Union High,Orange,479.0,35.0,22.0,20.0,21.0,22.0
Buhach Colony High,Merced Union High,Merced,412.0,64.0,21.0,19.0,19.0,20.0
Bullard High,Fresno Unified,Fresno,518.0,24.0,21.0,20.0,22.0,21.0
Burbank High,Burbank Unified,Los Angeles,586.0,94.0,25.0,25.0,25.0,24.0
Burlingame High,San Mateo Union High,San Mateo,401.0,131.0,27.0,27.0,27.0,26.0
Burroughs High,Sierra Sands Unified,Kern,331.0,15.0,27.0,26.0,27.0,26.0
Burroughs High,Burbank Unified,Los Angeles,584.0,81.0,26.0,26.0,24.0,24.0
