school,number_applicants,accept_rate,sat_25_75,act_25_75,act_25th,act_75th,sat_25th,sat_75th
DePauw University,4935,64.4,1130-1360,23-30,23.0,30.0,1130.0,1360.0
Drury University,1664,64.4,1045-1225,22-28,22.0,28.0,1045.0,1225.0
St. John Fisher College,4720,64.5,1070-1260,21-26,21.0,26.0,1070.0,1260.0
University of San Francisco,18411,64.6,1130-1330,23-29,23.0,29.0,1130.0,1330.0
Bard College,5141,64.6,1248-1420,27-31,27.0,31.0,1248.0,1420.0
Goshen College,1278,64.7,1010-1210,21-29,21.0,29.0,1010.0,1210.0
Agnes Scott College,1751,64.8,1130-1340,24-30,24.0,30.0,1130.0,1340.0
Virginia Polytechnic Institute and State University,31936,64.8,1180-1390,25-31,25.0,31.0,1180.0,1390.0
University of Houston,25393,65.0,1140-1310,22-27,22.0,27.0,1140.0,1310.0
University of North Carolina—​Charlotte,21867,65.0,1120-1290,22-26,22.0,26.0,1120.0,1290.0
Truman State University,4568,65.3,1080-1358,24-30,24.0,30.0,1080.0,1358.0
University of North Carolina—​Wilmington,13287,65.5,1170-1320,22-27,22.0,27.0,1170.0,1320.0
SUNY—​Geneseo,10433,65.5,1120-1310,23-28,23.0,28.0,1120.0,1310.0
Embry-​Riddle Aeronautical University,6017,65.5,1110-1320,22-29,22.0,29.0,1110.0,1320.0
University of the Pacific,13096,65.6,1130-1360,23-31,23.0,31.0,1130.0,1360.0
Rochester Institute of Technology,18948,66.0,1200-1400,27-32,27.0,32.0,1200.0,1400.0
Berry College,3970,66.1,1110-1310,23-29,23.0,29.0,1110.0,1310.0
Mississippi State University,18269,66.3,1070-1280,22-30,22.0,30.0,1070.0,1280.0
Sewanee—​University of the South,3545,66.7,1150-1340,25-30,25.0,30.0,1150.0,1340.0
Hanover College,7795,66.9,1078-1300,22-28,22.0,28.0,1078.0,1300.0
Coe College,7795,66.9,1078-1300,22-28,22.0,28.0,1078.0,1300.0
Randolph-​Macon College,2907,67.1,1020-1240,20-27,20.0,27.0,1020.0,1240.0
Loyola University Chicago,25583,67.2,1140-1320,25-30,25.0,30.0,1140.0,1320.0
University of Vermont,19233,67.3,1180-1360,26-31,26.0,31.0,1180.0,1360.0
San Francisco State University,34629,67.3,940-1150,17-23,17.0,23.0,940.0,1150.0
Brigham Young University—​Provo,10500,67.5,1210-1420,26-31,26.0,31.0,1210.0,1420.0
Drake University,6944,67.6,1100-1370,24-31,24.0,31.0,1100.0,1370.0
